kelime	sıklık	tür	okunuş	çeviri	seviye
spin	2689	verb	/spɪn/	döndürmek	C1
roughly	2690	adv.	/ˈrʌfli/	kabaca	B2
drama	2691	noun	/ˈdrɑːmə/	drama	A2
liberty	2692	noun	/ˈlɪbərti/	özgürlük	C1
ingredient	2693	noun	/ɪnˈɡriːdiənt/	katkı maddesi, bileşenler	B1
hip	2694	noun	/hɪp/	belki	B2
provision	2695	noun	/prəˈvɪʒn/	önlem	C1
burden	2696	noun	/ˈbɜːrdn/	yük	C1
teen	2697	noun	/tiːn/	genç	B2
survival	2698	noun	/sərˈvaɪvl/	hayatta kalma	B2
unlikely	2699	adj.	/ʌnˈlaɪkli/	olası olmayan	B1
Italian	2700	adj.	/ɪˈtæliən/	İtalyan	
chamber	2701	noun	/ˈtʃeɪmbər/	(gizlilik içeren) hazne, oda	C1
lost	2702	adj.	/lɑːst/	kayıp	A2
communicate	2703	verb	/kəˈmjuːnɪkeɪt/	iletişime geçmek	A2
stupid	2704	adj.	/ˈstuːpɪd/	Aptal	A2
bet	2705	verb	/bet/	bahse girmek	B2
advance	2706	verb	/ədˈvæns/	ilerlemek, geliştirmek	B2
Muslim	2707	adj.	/ˈmʊzlɪm; ˈmʌzlɪm; ˈmʊslɪm/	Müslüman	
bell	2708	noun	/bel/	zil	B1
onion	2709	noun	/ˈʌnjən/	soğan	A1
disagree	2710	verb	/ˌdɪsəˈɡriː/	aynı fikirde olmamak	A2
encounter	2711	verb	/ɪnˈkaʊntər/	rastlamak	B2
constitutional	2712	adj.	/ˌkɑːnstɪˈtuːʃənl/	anayasal	C1
cabinet	2713	noun	/ˈkæbɪnət/	dolap	C1
remarkable	2714	adj.	/rɪˈmɑːrkəbl/	dikkat çekici	B2
broken	2715	adj.	/ˈbroʊkən/	arızalı / kırık, kırılmış / bozuk	A2
latter	2716	deter.	/ˈlætər/	sonraki	C1
overcome	2717	verb	/ˌoʊvərˈkʌm/	üstesinden gelmek	B2
virus	2718	noun	/ˈvaɪrəs/	virüs	A2
stranger	2719	noun	/ˈstreɪndʒər/	(bilinmeyen kişi) yabancı	B1
retain	2720	verb	/rɪˈteɪn/	yerinde tutmak (ısı, su vb.)	B2
match	2721	noun	/mætʃ/	kibrit / eşleşme / muadil	
prize	2722	noun	/praɪz/	ödül	A2
string	2723	noun	/strɪŋ/	sicim	B1
exhibition	2724	noun	/ˌeksɪˈbɪʃn/	sergi	B1
expansion	2725	noun	/ɪkˈspænʃn/	genleşme, genişletilme	B2
tremendous	2726	adj.	/trəˈmendəs/	şahane	C1
bunch	2727	noun	/bʌntʃ/	demet	B2
assistant	2728	noun	/əˈsɪstənt/	asistan	A2
initially	2729	adv.	/ɪˈnɪʃəli/	başlangıçta	B2
accurate	2730	adj.	/ˈækjərət/	kesin	B2
cheek	2731	noun	/tʃiːk/	yanak	B2
index	2732	noun	/ˈɪndeks/	dizin	B2
occupy	2733	verb	/ˈɑːkjupaɪ/	işgal etmek	B2
gear	2734	noun	/ɡɪr/	vites	C1
guarantee	2735	verb	/ˌɡærənˈtiː/	garanti	B2
chocolate	2736	noun	/ˈtʃɑːk.lət/	çikolata	A1
ceremony	2737	noun	/ˈserəmoʊni/	tören	B1
button	2738	noun	/ˈbʌt(ə)n/	buton	A2
shopping	2739	noun	/ˈʃɑːpɪŋ/	alışveriş	A1
pay	2740	noun	/peɪ/	ödeme	A2
dispute	2741	noun	/dɪˈspjuːt; ˈdɪspjuːt/	anlaşmazlık	C1
like	2742	adv.	/laɪk/	gibi	A1
furniture	2743	noun	/ˈfɜːrnɪtʃər/	mobilya	A2
marine	2744	adj.	/məˈriːn/	denize ait, denizde yapılan	C1
statistics	2745	noun	/stəˈtɪstɪks/	istatistik	
Olympic	2746	adj.	/əˈlɪmpɪk/	Olimpiyat	
balance	2747	verb	/ˈbæləns/	dengelemek	B1
wipe	2748	verb	/waɪp/	(bir yuzeyi) silmek	C1
spokesman	2749	noun	/ˈspoʊksmən/	sözcü	B2
super	2750	adj.	/ˈsuːpər/	süper	B2
Islamic	2751	adj.	/ɪzˈlæmɪkˌɪzˈlɑːmɪk/	İslami	
track	2752	verb	/træk/	(iz vb.) izlemek	B2
translate	2753	verb	/trænzˈleɪt; trænsˈleɪt/	(dil) çevirmek	B1
interpret	2754	verb	/ɪnˈtɜːrprət/	yorumlamak	B2
testify	2755	verb	/ˈtestɪfaɪ/	tanıklık etmek	C1
cooperation	2756	noun	/koʊˌɑːpəˈreɪʃn/	işbirliği	
friendly	2757	adj.	/ˈfrendli/	arkadaş canlısı	A1
profile	2758	noun	/ˈproʊfaɪl/	profil	A2
pants	2759	noun	/pænts/	pantolon	A1
whereas	2760	conj.	/ˌwerˈæz/	Halbuki	B2
honor	2761	verb	/ˈɑːnər/	onurlandırmak	B2
elite	2762	noun	/eɪˈliːt; ɪˈliːt/	elit, seçkin	C1
decline	2763	noun	/dɪˈklaɪn/	reddetme	B2
port	2764	noun	/pɔːrt/	liman	B1
complicated	2765	adj.	/ˈkɑːmplɪkeɪtɪd/	karmaşık, çözülmesi güç	B2
cousin	2766	noun	/ˈkʌzn/	kuzen	A1
strategic	2767	adj.	/strəˈtiːdʒɪk/	stratejik	C1
terrorist	2768	noun	/ˈterərɪst/	terörist	B2
chart	2769	noun	/tʃɑːrt/	çizelge	B2
drawing	2770	noun	/ˈdrɑː.ɪŋ/	resim çizme	A2
though	2771	adv.	/ðoʊ/	gerçi, -diği halde	B1
gently	2772	adv.	/ˈdʒentli/	nazikçe	
pack	2773	noun	/pæk/	ambalaj, paket / sırt çantası	B1
odd	2774	adj.	/ɑːd/	acayip	B1
incentive	2775	noun	/ɪnˈsentɪv/	teşvik	B2
innocent	2776	adj.	/ˈɪnəsnt/	masum	B1
imply	2777	verb	/ɪmˈplaɪ/	ima etmek	B2
taste	2778	verb	/teɪst/	tatmak	A2
stadium	2779	noun	/ˈsteɪdiəm/	stadyum	B1
scenario	2780	noun	/səˈnærioʊ/	senaryo	B2
shooting	2781	noun	/ˈʃuːtɪŋ/	çekim	B2
blind	2782	adj.	/blaɪnd/	kör	B2
assembly	2783	noun	/əˈsembli/	toplantı / montaj	C1
withdraw	2784	verb	/wɪðˈdrɑː/	(para) çekmek, çekilmek	B2
strip	2785	noun	/strɪp/	şerit	C1
market	2786	verb	/ˈmɑːrkɪt/	Market	B1
lover	2787	noun	/ˈlʌvər/	sevgili	
process	2788	verb	/prəˈses；ˈprɑːses/	işlemek	B2
mainly	2789	adv.	/ˈmeɪnli/	başlıca	B1
aircraft	2790	noun	/ˈerkræft/	hava aracı	B2
newly	2791	adv.	/ˈnuːli/	yeni olarak	B2
ideal	2792	adj.	/aɪˈdiːəl/	ideal	B2
dirt	2793	noun	/dɜːrt/	pislik, kir	B1
flow	2794	verb	/floʊ/	akmak	B1
boundary	2795	noun	/ˈbaʊndri/	(bir şeyin bittiği) sınır	C1
resort	2796	noun	/rɪˈzɔːrt/	dinlenme tesisi	B2
genetic	2797	adj.	/dʒəˈnetɪk/	genetik	B2
stick	2798	noun	/stɪk/	çubuk, sopa	B1
concentration	2799	noun	/ˌkɑːnsnˈtreɪʃn/	konsantrasyon	B2
naturally	2800	adv.	/ˈnætʃrəli/	doğal olarak	B1
ministry	2801	noun	/ˈmɪnɪstri/	bakanlık	C1
surprising	2802	adj.	/sərˈpraɪzɪŋ/	şaşırtıcı	A2
adviser	2803	noun	/ədˈvaɪzər/	 danışman, akıl hocası	
recommendation	2804	noun	/ˌrekəmenˈdeɪʃn/	tavsiye	B1
similarly	2805	adv.	/ˈsɪmələrli/	benzer şekilde	B1
justify	2806	verb	/ˈdʒʌstɪfaɪ/	aklamak	B2
wildlife	2807	noun	/ˈwaɪldlaɪf/	yaban hayatı	B2
bench	2808	noun	/bentʃ/	bank	C1
bullet	2809	noun	/ˈbʊlɪt/	mermi	B2
mode	2810	noun	/moʊd/	mod	B2
square	2811	adj.	/skwer/	Meydan	A2
champion	2812	noun	/ˈtʃæmpiən/	şampiyon	B1
dismiss	2813	verb	/dɪsˈmɪs/	kovmak, azletmek	B2
deck	2814	noun	/dek/	deste / güverte	B2
lifetime	2815	noun	/ˈlaɪftaɪm/	ömür boyu	B2
extensive	2816	adj.	/ɪkˈstensɪv/	geniş çaplı	B2
attractive	2817	adj.	/əˈtræktɪv/	çekici	A2
politically	2818	adv.	/pəˈlɪtɪkli/	politik olarak	
regularly (%80)	2819	adv.	/ˈreɡjələrli/	düzenli olarak	B1
raw	2820	adj.	/rɑː/	çiğ	B2
fault	2821	noun	/fɑːlt/	kabahat, kusur	B2
clinical	2822	adj.	/ˈklɪnɪkl/	klinik	C1
detect	2823	verb	/dɪˈtekt/	tespit etmek	B2
considerable	2824	adj.	/kənˈsɪdərəbl/	hatrı sayılır derecede	B2
working	2825	adj.	/ˈwɜːrkɪŋ/	çalışma	A2
partly	2826	adv.	/ˈpɑːrtli/	kısmen	B2
platform	2827	noun	/ˈplætfɔːrm/	platform	A2
remote	2828	adj.	/rɪˈmoʊt/	mesafeli	B1
blue	2829	noun	/bluː/	mavi	A1
respect	2830	verb	/rɪˈspekt/	saygı duymak	B1
top	2831	prepos.	/tɑːp/	üst	A2
fortune	2832	noun	/ˈfɔːrtʃən/	talih, kısmet	B2
slave	2833	noun	/sleɪv/	köle	B1
delivery	2834	noun	/dɪˈlɪvəri/	teslimat	B2
reflection	2836	noun	/rɪˈflekʃn/	yansıma	C1
relevant	2837	adj.	/ˈreləvənt/	ilgili	B2
unknown	2838	adj.	/ˌʌnˈnoʊn/	bilinmeyen	B2
pause	2839	verb	/pɑːz/	duraklatmak, duraklamak	B2
likely	2840	adv.	/ˈlaɪkli/	büyük ihtimalle	A2
tissue	2841	noun	/ˈtɪʃuː/	doku	B2
sink	2842	verb	/sɪŋk/	(suda) batmak	B1
counter	2843	noun	/ˈkaʊntər/	(ödeme yapılan) tezgah / sayaç	B2
Bible	2844	noun	/ˈbaɪb(ə)l/	Kutsal Kitap	
license	2845	noun	/ˈlaɪsns/	lisans	B2
tragedy	2846	noun	/ˈtrædʒədi/	trajedi	B2
assistant	2847	adj.	/əˈsɪstənt/	asistan	A2
dialogue	2848	noun	/ˈdaɪ.ə.lɑːɡ/	diyalog	A1
mutual	2849	adj.	/ˈmjuːtʃuəl/	ortak, müşterek, karşılıklı	C1
loose	2850	adj.	/luːs/	gevşetmek	B2
external	2851	adj.	/ɪkˈstɜːrnl/	harici	B2
pride	2852	noun	/praɪd/	gurur	B2
awareness	2853	noun	/əˈwernəs/	farkındalık	B2
electricity	2854	noun	/ɪˌlekˈtrɪsəti/	elektrik	A2
diverse	2855	adj.	/daɪˈvɜːrs/	çeşitli	B2
advanced	2856	adj.	/ədˈvænst/	gelişmiş	B1
free	2857	verb	/friː/	özgür bırakmak	B2
faster	2858	adv.	/'fastə/	daha hızlı	
conservative	2859	noun	/kənˈsɜːrvətɪv/	tutucu, muhafazakar	B2
online	2860	adj.	/ˌɑːnˈlaɪn/	internet üzerinden	A1
assault	2861	noun	/əˈsɑːlt/	saldırı, taarruz	C1
shortly	2862	adv.	/ˈʃɔːrtli/	kısaca	B2
finance	2863	noun	/ˈfaɪnæns; faɪˈnæns; fəˈnæns/	finans	B2
originally	2864	adv.	/əˈrɪdʒənəli/	aslen	B1
founder	2865	noun	/ˈfaʊndər/	kurucu	B2
lie	2866	noun	/laɪ/	yalan	
characterize	2867	verb	/ˈkærəktəraɪz/	karakterize etmek	C1
protest	2868	noun	/ˈproʊtest; prəˈtest/	protesto	B1
pole	2869	noun	/poʊl/	kutup / direk	C1
intellectual	2870	adj.	/ˌɪntəˈlektʃuəl/	entelektüel	C1
communist	2871	adj.	/ˈkɑːmjənɪst/	komünist	C1
infection	2872	noun	/ɪnˈfekʃn/	enfeksiyon	B2
controversy	2873	noun	/ˈkɑːntrəvɜːrsi/	(toplulukça) anlaşmazlık, ihtilaf	B2
double	2874	verb	/ˈdʌbl/	ikiye katlamak	
freeze	2875	verb	/friːz/	donmak, dondurmak	B1
portrait	2876	noun	/ˈpɔːrtrət/	vesika	B1
proof	2877	noun	/pruːf/	ispat	B2
satisfaction	2878	noun	/ˌsætɪsˈfækʃn/	memnuniyet	B2
insight	2879	noun	/ˈɪnsaɪt/	içgörü	B2
headquarters	2880	noun	/ˈhedkwɔːrtərz/	genel merkez, karargah	B2
stair	2881	noun	/ster/	merdiven	A2
crash	2882	noun	/kræʃ/	(araç) kaza / şangırtı	B2
constitute	2883	verb	/ˈkɑːnstɪtuːt/	teşkil etmek, oluşturmak	C1
thirty	2884	num.	/ˈθɜːrti/	otuz	A1
alter	2885	verb	/ˈɑːl.tɚ/	değiştirmek	B2
sudden	2886	adj.	/ˈsʌdn/	birden	B1
not	2887	conj.	/nɑːt/	değil	A1
potentially	2888	adv.	/pəˈtenʃəli/	potansiyel olarak	B2
dirty	2889	adj.	/ˈdɜːrti/	kirli	A1
evolve	2890	verb	/ɪˈvɑːlv/	evrim geçirmek	B2
teenager	2891	noun	/ˈtiːneɪdʒər/	genç	A1
violation	2892	noun	/ˌvaɪəˈleɪʃn/	ihlal	C1
joy	2893	noun	/dʒɔɪ/	neşe	B2
smell	2894	noun	/smel/	koku	A2
possess	2895	verb	/pəˈzes/	sahip olmak	B2
hurricane	2896	noun	/ˈhɜːrəkeɪn/	kasırga	B1
offense	2897	noun	/əˈfens/	dargınlık / (bir mücadelede skor yapmak için) hücum	B2
relax	2898	verb	/rɪˈlæks/	rahatlamak	A1
appeal	2899	verb	/əˈpiːl/	temyiz	B2
mount	2900	verb	/maʊnt/	binmek	B2
treaty	2901	noun	/ˈtriː.t̬i/	(devletler arası)&nbsp;antlaşma	C1
prior	2902	prepos.	/ˈpraɪər/	önceden	B2
memorial	2903	noun	/məˈmɔːriəl/	anıt	C1
establishment	2904	noun	/ɪˈstæblɪʃmənt/	kuruluş	C1
hold	2905	noun	/hoʊld/	tutma	B2
tap	2906	verb	/tæp/	hafifçe vurmak	B2
swim	2907	verb	/swɪm/	yüzmek	B1
properly	2908	adv.	/ˈprɑːpərli/	düzgün bir şekilde	B1
gulf	2909	noun	/ɡʌlf/	körfez	
tongue	2910	noun	/tʌŋ/	dil	B1
salad	2911	noun	/ˈsæləd/	salata	A1
practice	2912	verb	/ˈpræktɪs/	pratik yapmak	A1
favorite	2913	noun	/ˈfeɪvərɪt/	favori	A1
shelter	2914	noun	/ˈʃeltər/	barınak	B2
correspondent	2915	noun	/ˌkɔːrəˈspɑːndənt/	dış ülke muhabiri / yazışma yapan kimse	C1
introduction	2916	noun	/ˌɪntrəˈdʌkʃn/	giriş, tanıtım	A2
funeral	2917	noun	/ˈfjuːnərəl/	cenaze	C1
literary	2918	adj.	/ˈlɪtəreri/	edebi	B2
convert	2919	verb	/kənˈvɜːrt/	dönüştürmek	B2
violate	2920	verb	/ˈvaɪəleɪt/	ihlal etmek	C1
rub	2921	verb	/rʌb/	ovmak	B2
entrance	2922	noun	/ˈentrəns; ɪnˈtræns/	giriş	B1
episode	2923	noun	/ˈepɪsoʊd/	Bölüm	B1
tournament	2924	noun	/ˈtʊrnəmənt; ˈtɜːrnəmənt/	turnuva	B2
vital	2925	adj.	/ˈvaɪtl/	hayati	B2
stable	2926	adj.	/ˈsteɪbl/	kararlı	B2
split	2927	verb	/splɪt/	bölmek, ayrılmak	B2
representation	2928	noun	/ˌreprɪzenˈteɪʃn/	temsil	C1
stress	2929	verb	/stres/	stres	A2
fiction	2930	noun	/ˈfɪkʃn/	kurgu	A2
lane	2931	noun	/leɪn/	şerit	B2
distinction	2932	noun	/dɪˈstɪŋkʃn/	ayrım	C1
segment	2933	noun	/ˈseɡmənt/	altparça, segment	C1
transfer	2934	noun	/trænsˈfɜːr/	aktarım	B2
comprehensive	2935	adj.	/ˌkɑːmprɪˈhensɪv/	kapsamlı	B2
confident	2936	adj.	/ˈkɑːnfɪdənt/	kendinden emin	B1
easy	2937	adv.	/ˈiːzi/	kolay	A1
prominent	2938	adj.	/ˈprɑːmɪnənt/	öne çıkan, önde gelen	C1
presentation	2939	noun	/ˌpriːzenˈteɪʃn/	sunum	B1
net	2940	noun	/net/	ağ	B1
squeeze	2941	verb	/skwiːz/	sıkmak	C1
tobacco	2942	noun	/təˈbækoʊ/	tütün	C1
significance	2943	noun	/sɪɡˈnɪfɪkəns/	önem	C1
imagination	2944	noun	/ɪˌmædʒɪˈneɪʃn/	hayal gücü	B2
pretend	2945	verb	/prɪˈtend/	yapar gibi görünmek	B1
mere	2946	adj.	/mɪr/	sadece	C1
mix	2947	noun	/mɪks/	karışım	B1
spot	2948	verb	/spɑːt/	(dikkatle bakarak) fark etmek / ayırt etmek	B2
fade	2949	verb	/feɪd/	karartmak / rengi solmak, soldurmak	C1
steady	2950	adj.	/ˈstedi/	sabit	B2
neither	2951	deter.	/ˈniːðər; ˈnaɪðər/	hiç biri	B1
target	2952	verb	/ˈtɑːrɡɪt/	hedeflemek	B2
nowhere	2953	adv.	/ˈnoʊwer/	hiç bir yer	A2
variation	2954	noun	/ˌveriˈeɪʃn/	varyasyon	B2
radical	2955	adj.	/ˈrædɪkl/	kökten, köklü	C1
adventure	2956	noun	/ədˈventʃər/	macera	A2
profession	2957	noun	/prəˈfeʃn/	uzmanlık alanı	B1
exciting	2958	adj.	/ɪkˈsaɪtɪŋ/	heyecan verici	A1
fate	2959	noun	/feɪt/	kader	C1
regardless	2960	adv.	/rɪˈɡɑːrdləs/	ne olursa olsun	C1
load	2961	verb	/loʊd/	yüklemek	B2
singer	2962	noun	/ˈsɪŋər/	şarkıcı	A1
distribute	2963	verb	/dɪˈstrɪbjuːt/	dağıtmak	B2
ton	2964	noun	/tʌn/	ton	B1
instance	2965	noun	/ˈɪnstəns/	misal	B2
affiliation	2966	noun	/əˌfɪliˈeɪʃn/	(iki grup arasında) bağlantı, ilişki	
hunting	2967	noun	/ˈhʌntɪŋ/	avlanma	B2
pale	2968	adj.	/peɪl/	solgun	B1
paint	2969	noun	/peɪnt/	boya, yağlıboya	A1
poet	2970	noun	/ˈpoʊət/	şair	B1
gradually	2971	adv.	/ˈɡrædʒuəli/	gitgide	B2
partnership	2972	noun	/ˈpɑːrtnərʃɪp/	ortaklık	B2
capability	2973	noun	/ˌkeɪpəˈbɪləti/	kabiliyet	C1
Canadian	2974	adj.	/kəˈneɪdiən/	Kanadalı	
tech	2975	noun	/tek/	teknoloji	
commerce	2976	noun	/ˈkɑːmɜːrs/	ticaret	C1
grandfather	2977	noun	/ˈɡrænfɑːðər/	büyük baba	A1
bake	2978	verb	/beɪk/	fırında pişirmek	B1
shelf	2979	noun	/ʃelf/	raf	B1
honey	2980	noun	/ˈhʌni/	bal	B2
round	2981	adj.	/raʊnd/	yuvarlak	B2
flee	2982	verb	/fliː/	kaçmak	C1
adapt	2983	verb	/əˈdæpt/	uyarlamak	B2
buyer	2984	noun	/ˈbaɪər/	alıcı	
divorce	2985	noun	/dɪˈvɔːrs/	boşanmak	B2
defensive	2986	adj.	/dɪˈfensɪv/	savunucu	C1
bombing	2987	noun	/ˈbɑːmɪŋ/	bombalama	B2
scared	2988	adj.	/skerd/	korkmuş	A2
gesture	2989	noun	/ˈdʒestʃər/	el/kol/baş hareketi	B2
poetry	2990	noun	/ˈpoʊətri/	şiir sanatı	B1
reserve	2991	noun	/rɪˈzɜːrv/	rezerv	B2
satisfy	2992	verb	/ˈsætɪsfaɪ/	tatmin etmek	B2
pollution	2993	noun	/pəˈluːʃn/	kirlilik	A2
lawn	2994	noun	/lɑːn/	çim	C1
depending	2995	prepos.	/dɪˈpendɪŋ/	bağlı olarak	
wisdom	2996	noun	/ˈwɪzdəm/	bilgelik	B2
since	2997	adv.	/sɪns/	-dan beri	B1
comfort	2998	noun	/ˈkʌmfərt/	konfor	B2
plot	2999	noun	/plɑːt/	hikayenin konusu / komplo	B2
vulnerable	3000	adj.	/ˈvʌlnərəbl/	savunmasız, zedelenebilir	C1
vulnerable	3000	adj.	/ˈvʌlnərəbl/	korunmasız	C1
explosion	3001	noun	/ɪkˈsploʊʒn/	patlama	B1
tail	3002	noun	/teɪl/	kuyruk	B1
differ	3003	verb	/ˈdɪfər/	farklı olmak	B2
fellow	3004	noun	/ˈfeloʊ/	dost	B2
sustain	3005	verb	/səˈsteɪn/	ayakta tutmak, sürdürmek	C1
doubt	3006	verb	/daʊt/	şüphelenmek	B1
stability	3007	noun	/stəˈbɪləti/	kararlılık	C1
fantasy	3008	noun	/ˈfæntəsi/	fantezi	B2
obligation	3009	noun	/ˌɑːblɪˈɡeɪʃn/	yükümlülük	B2
God	3010	noun	/ɡɑːd/	Tanrı	
damage	3011	verb	/ˈdæmɪdʒ/	zarar vermek	B1
bike	3012	noun	/baɪk/	bisiklet	A1
dining	3013	noun	/ˈdaɪnɪŋ/	yemek yeme	
guide	3014	verb	/ɡaɪd/	rahberlik yapmak	A2
custom	3015	noun	/ˈkʌstəm/	örf, adet	B1
ill	3016	adj.	/ɪl/	(resmi olarak) hasta	A2
celebrity	3017	noun	/səˈlebrəti/	ünlü kişi	A2
leather	3018	noun	/ˈleðər/	deri	B1
given	3019	adj.	/ˈɡɪvn/	verilmiş	
framework	3020	noun	/ˈfreɪmwɜːrk/	ana yapı iskeleti	B2
beat	3021	noun	/biːt/	vurma sesi, darbe	B2
owe	3022	verb	/oʊ/	borçlu olmak	B2
slight	3023	adj.	/slaɪt/	hafif (derece olarak)	B2
witness	3024	verb	/ˈwɪtnəs/	tanıklık etmek	B2
tendency	3025	noun	/ˈtendənsi/	eğilim	B2
load	3026	noun	/loʊd/	yük	B2
crack	3027	noun	/kræk/	çatırtı, çatlak	B2
briefly	3028	adv.	/ˈbriːfli/	kısaca	B2
derive	3029	verb	/dɪˈraɪv/	türemek, türetmek	B2
speaker	3030	noun	/ˈspiːkər/	konuşmacı / hoparlör	A2
scandal	3031	noun	/ˈskændl/	skandal	B2
fifteen	3032	num.	/ˌfɪfˈtiːn/	on beş	A1
scheme	3033	noun	/skiːm/	şema	
jazz	3034	noun	/dʒæz/	caz	A2
in	3035	conj.	/ɪn/	içinde	A1
elderly	3036	adj.	/ˈeldərli/	yaşlı	B2
celebration	3037	noun	/ˌselɪˈbreɪʃn/	kutlama	B1
can	3038	noun	/kən; kæn/	konserve kutusu	
evolution	3039	noun	/ˌevəˈluːʃn/	evrim	B2
fighter	3040	noun	/ˈfaɪtər/	savaşçı	
publicly	3041	adv.	/ˈpʌblɪkli/	halka açık olarak	
store	3042	verb	/stɔːr/	depolamak	B1
trace	3043	verb	/treɪs/	takip etmek	C1
rid	3044	verb	/rɪd/	kurtulmak	B2
detective	3045	noun	/dɪˈtektɪv/	dedektif	A2
closer	3046	adj.	/ˈkloʊzər/	daha yakın	
limitation	3047	noun	/ˌlɪmɪˈteɪʃn/	sınırlama	B2
besides	3048	adv.	/bɪˈsaɪdz/	ayrıca	B2
soup	3049	noun	/suːp/	çorba	A1
oven	3050	noun	/ˈʌvn/	fırın	A2
rapid	3051	adj.	/ˈræpɪd/	ani	B2
chase	3052	verb	/tʃeɪs/	kovalamak	B2
sophisticated	3053	adj.	/səˈfɪstɪkeɪtɪd/	komplike	B2
tribe	3054	noun	/traɪb/	kabile	B2
pipe	3055	noun	/paɪp/	boru	B1
deer	3056	noun	/dɪr/	geyik	
illustration	3057	noun	/ˌɪləˈstreɪʃn/	illüstrasyon	B2
ok	3058	adj.	/oʊˈkeɪ/	tamam	
arrest	3059	noun	/əˈrest/	tutuklama	B1
uniform	3061	noun	/ˈjuːnɪfɔːrm/	üniforma	A2
transmission	3062	noun	/trænzˈmɪʃnˌtrænsˈmɪʃn/	iletim / şanzıman	C1
storage	3063	noun	/ˈstɔːrɪdʒ/	depolamak	C1
pile	3064	noun	/paɪl/	istif, yığın	B2
survivor	3065	noun	/sərˈvaɪvər/	hayatta kalan	B2
resemble	3066	verb	/rɪˈzembl/	andırmak	C1
incredible	3067	adj.	/ɪnˈkredəbl/	inanılmaz	A2
impress	3068	verb	/ɪmˈpres/	etkilemek	B2
economist	3069	noun	/ɪˈkɑːnəmɪst/	iktisatçı	B2
efficient	3070	adj.	/ɪˈfɪʃnt/	etkili	B2
fifty	3071	num.	/ˈfɪfti/	elli	A1
shade	3072	noun	/ʃeɪd/	gölge, gölgelik	B2
opera	3073	noun	/ˈɑːprə/	opera	B2
calculate	3074	verb	/ˈkælkjuleɪt/	hesaplamak	B2
preference	3075	noun	/ˈprefrəns/	tercih (kişisel), yeğleme	B2
guideline	3076	noun	/ˈɡaɪdlaɪn/	yönerge	B2
consume	3077	verb	/kənˈsuːm/	tüketmek	B1
maintenance	3078	noun	/ˈmeɪntənəns/	bakım	C1
formation	3079	noun	/fɔːrˈmeɪʃn/	oluşum	B2
glove	3080	noun	/ɡlʌv/	eldiven	B1
scholarship	3081	noun	/ˈskɑːlərʃɪp/	burs	B2
educate	3082	verb	/ˈedʒukeɪt/	eğitmek, okutmak	B1
proportion	3083	noun	/prəˈpɔːrʃn/	oran, orantı	B2
appointment	3084	noun	/əˈpɔɪntmənt/	randevu	B1
fund	3085	verb	/fʌnd/	fonlamak	B2
conviction	3086	noun	/kənˈvɪkʃn/	mahkumiyet, suçlu bulunma	C1
myth	3087	noun	/mɪθ/	efsane	B2
solar	3088	adj.	/ˈsoʊlər/	güneşsel	B2
vessel	3089	noun	/ˈvesl/	(büyük) gemi / kap / kanal	C1
wealthy	3090	adj.	/ˈwelθi/	zengin	B2
friendship	3091	noun	/ˈfrendʃɪp/	arkadaşlık	B1
membership	3092	noun	/ˈmembərʃɪp/	üyelik	B2
craft	3093	noun	/kræft/	zanaat	C1
qualify	3094	verb	/ˈkwɑːlɪfaɪ/	vasıflandırmak, nitelemek	B1
French	3095	noun	/frentʃ/	Fransızca	
earnings	3096	noun	/ˈɜːrnɪŋz/	kazanç, karlar	C1
waste	3097	verb	/weɪst/	boşa harcamak	B1
asleep	3098	adj.	/əˈsliːp/	uyumuş, uyuyan (kimse), uyumuş halde	A2
porch	3099	noun	/pɔːrtʃ/	kapı eşiği	
controversial	3100	adj.	/ˌkɑːntrəˈvɜːrʃl/	ihtilaflı	B2
painful	3101	adj.	/ˈpeɪnfl/	acı verici	B1
congressman	3102	noun	/ˈkɑːŋɡrəsmən/	kongre üyesi	
mama	3103	noun	/ˈmæmə/	anne	
monitor	3104	noun	/ˈmɑːnɪtər/	monitör	B2
surprise	3105	verb	/sərˈpraɪz/	sürpriz yapmak	A2
infant	3106	noun	/ˈɪnfənt/	bebek	C1
cow	3107	noun	/kaʊ/	inek	A1
proposed	3108	adj.	/prəˈpoʊzd/	önerilen	
sufficient	3109	adj.	/səˈfɪʃnt/	yeterli, kafi	B2
oak	3110	noun	/oʊk/	meşe	
terrorist	3111	adj.	/ˈterərɪst/	terörist	B2
mall	3112	noun	/mɑːl/	alışveriş merkezi	A1
punishment	3113	noun	/ˈpʌnɪʃmənt/	ceza	B1
helpful	3114	adj.	/ˈhelpfl/	yardımcı, yardımsever	A2
ongoing	3115	adj.	/ˈɑːnɡoʊɪŋ/	devam eden	B2
admission	3116	noun	/ədˈmɪʃn/	itiraf / kabul, giriş	C1
frequency	3117	noun	/ˈfriːkwənsi/	sıklık	B2
ratio	3118	noun	/ˈreɪʃioʊ/	oran	C1
delay	3119	noun	/dɪˈleɪ/	gecikme	B2
privacy	3120	noun	/ˈpraɪvəsi/	mahremiyet	B2
trick	3121	noun	/trɪk/	numara, aldatmaca	B1
etc.	3122	adv.	/IPA/	vb.	
circuit	3123	noun	/ˈsɜːrkɪt/	çevrim / devre	B2
musician	3124	noun	/mjuˈzɪʃn/	müzisyen	A2
sue	3125	verb	/suː/	mahkemeye vermek	C1
purchase	3126	noun	/ˈpɜːrtʃəs/	satın alma	B2
